cell_id,sample_id,technology,x_centroid,y_centroid,predicted_celltype,max_celltype_score
abdhbdnh-1,Br2039,Xenium,568.54541015625,1715.2125244140625,Unknown,0.0
abdhpggl-1,Br2039,Xenium,588.750732421875,1727.948486328125,Excitatory_neuron,1.8969693183898926
abdmmkgm-1,Br2039,Xenium,576.6691284179688,1718.4449462890625,Unknown,0.0
abdnhmfg-1,Br2039,Xenium,583.9622802734375,1616.9664306640625,Astrocyte,3.835082530975342
abdpeidg-1,Br2039,Xenium,584.6357421875,1710.264892578125,Oligodendrocyte,1.2650002241134644
abdpgibn-1,Br2039,Xenium,527.3082275390625,1740.592529296875,Microglia,5.3287248611450195
abdpnceb-1,Br2039,Xenium,558.7467651367188,1612.041259765625,Microglia,4.773591041564941
abeakjni-1,Br2039,Xenium,547.953857421875,1620.0308837890625,Microglia,4.53530216217041
abecdogo-1,Br2039,Xenium,544.3464965820312,1700.02685546875,Astrocyte,4.581723213195801
abecjbhn-1,Br2039,Xenium,535.1537475585938,1547.1334228515625,Oligodendrocyte,5.123442649841309
abedlgfn-1,Br2039,Xenium,566.0465698242188,1580.9974365234375,Astrocyte,2.977534294128418
abedmkph-1,Br2039,Xenium,568.3251953125,1546.5748291015625,Astrocyte,2.4635772705078125
abeejboc-1,Br2039,Xenium,545.8414916992188,1159.35595703125,Astrocyte,5.453770160675049
abefilli-1,Br2039,Xenium,568.5277709960938,1193.832275390625,Astrocyte,4.30938196182251
abegjnba-1,Br2039,Xenium,548.6221923828125,1190.0814208984375,Astrocyte,3.806065320968628
abehpjmo-1,Br2039,Xenium,554.6395874023438,1169.8131103515625,Astrocyte,5.227047920227051
abejokhk-1,Br2039,Xenium,570.5458374023438,1482.3741455078125,Endothelial,4.467784881591797
abekdobn-1,Br2039,Xenium,592.0799560546875,1490.670654296875,Astrocyte,3.6034955978393555
abekiemg-1,Br2039,Xenium,575.852294921875,1492.91259765625,Inhibitory_neuron,2.070265769958496
abelfmae-1,Br2039,Xenium,596.7108154296875,1447.52734375,Astrocyte,4.941577911376953
abelobmh-1,Br2039,Xenium,572.4154052734375,1210.6390380859375,Astrocyte,4.2335615158081055
abembhgc-1,Br2039,Xenium,539.8128662109375,1220.8089599609375,Astrocyte,2.5976130962371826
abemjbnf-1,Br2039,Xenium,606.294189453125,1457.7154541015625,Astrocyte,4.304434776306152
abfbobbi-1,Br2039,Xenium,616.7067260742188,1448.7373046875,Microglia,4.0098161697387695
abffdnin-1,Br2039,Xenium,606.723876953125,1242.6500244140625,Astrocyte,3.8081865310668945
abfglkpl-1,Br2039,Xenium,348.2976379394531,2017.329833984375,Astrocyte,4.6526031494140625
abfhhkjn-1,Br2039,Xenium,347.96044921875,2134.291748046875,Endothelial,4.448944091796875
abfhlgha-1,Br2039,Xenium,356.8260498046875,2098.983642578125,Astrocyte,5.482011318206787
abficmli-1,Br2039,Xenium,349.0591735839844,2090.06494140625,Astrocyte,5.225175857543945
abfjkcfj-1,Br2039,Xenium,322.34808349609375,2050.34326171875,Astrocyte,3.958376169204712
abfmilci-1,Br2039,Xenium,285.442138671875,2078.94091796875,Astrocyte,4.2537689208984375
abfmmekp-1,Br2039,Xenium,301.421875,2075.5283203125,Astrocyte,3.6240413188934326
abgcikbg-1,Br2039,Xenium,236.1869659423828,2372.649658203125,Astrocyte,5.862506866455078
abgcmlig-1,Br2039,Xenium,236.62588500976562,2603.11376953125,Astrocyte,5.33588171005249
abgcoeca-1,Br2039,Xenium,230.5877685546875,2586.225830078125,Astrocyte,4.721715927124023
abgfdemg-1,Br2039,Xenium,237.9816131591797,2582.3740234375,Astrocyte,5.16862154006958
